ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
129	CCSS.MATH.CONTENT.3.NBT.A	cluster	Grade 3: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	3	Use place value understanding and properties of operations to perform multi-digit arithmetic.¹
130	CCSS.MATH.CONTENT.3.NBT.A.1	standard	Grade 3: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	3	Use place value understanding to round whole numbers to the nearest 10 or 100.
131	CCSS.MATH.CONTENT.3.NBT.A.2	standard	Grade 3: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	3	Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.
132	CCSS.MATH.CONTENT.3.NBT.A.3	standard	Grade 3: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	3	Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations.
133	CCSS.MATH.CONTENT.3.NF.A	cluster	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Develop understanding of fractions as numbers.
134	CCSS.MATH.CONTENT.3.NF.A.1	standard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.
135	CCSS.MATH.CONTENT.3.NF.A.2	standard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Understand a fraction as a number on the number line; represent fractions on a number line diagram.
136	CCSS.MATH.CONTENT.3.NF.A.2.A	substandard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.
137	CCSS.MATH.CONTENT.3.NF.A.2.B	substandard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.
138	CCSS.MATH.CONTENT.3.NF.A.3	standard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.
139	CCSS.MATH.CONTENT.3.NF.A.3.A	substandard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line.
140	CCSS.MATH.CONTENT.3.NF.A.3.B	substandard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3. Explain why the fractions are equivalent, e.g., by using a visual fraction model.
141	CCSS.MATH.CONTENT.3.NF.A.3.C	substandard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers.
142	CCSS.MATH.CONTENT.3.NF.A.3.D	substandard	Grade 3: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	3	Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.
143	CCSS.MATH.CONTENT.3.MD.A	cluster	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Solve problems involving measurement and estimation.
144	CCSS.MATH.CONTENT.3.MD.A.1	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.
145	CCSS.MATH.CONTENT.3.MD.A.2	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).1 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.
146	CCSS.MATH.CONTENT.3.MD.B	cluster	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Represent and interpret data.
147	CCSS.MATH.CONTENT.3.MD.B.3	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step `how many more` and `how many less` problems using information presented in scaled bar graphs.
148	CCSS.MATH.CONTENT.3.MD.B.4	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters.
149	CCSS.MATH.CONTENT.3.MD.C	cluster	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Geometric measurement: understand concepts of area and relate area to multiplication and to addition.
150	CCSS.MATH.CONTENT.3.MD.C.5	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Recognize area as an attribute of plane figures and understand concepts of area measurement.
151	CCSS.MATH.CONTENT.3.MD.C.5.A	substandard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	A square with side length 1 unit, called `a unit square,` is said to have `one square unit` of area, and can be used to measure area.
152	CCSS.MATH.CONTENT.3.MD.C.5.B	substandard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.
153	CCSS.MATH.CONTENT.3.MD.C.6	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).
154	CCSS.MATH.CONTENT.3.MD.C.7	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Relate area to the operations of multiplication and addition.
155	CCSS.MATH.CONTENT.3.MD.C.7.A	substandard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.
156	CCSS.MATH.CONTENT.3.MD.C.7.B	substandard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.
157	CCSS.MATH.CONTENT.3.MD.C.7.C	substandard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning.
158	CCSS.MATH.CONTENT.3.MD.C.7.D	substandard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.
159	CCSS.MATH.CONTENT.3.MD.D	cluster	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Geometric measurement: recognize perimeter.
160	CCSS.MATH.CONTENT.3.MD.D.8	standard	Grade 3: Measurement and Data	math-content-standards	Measurement and Data	3	Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.
161	CCSS.MATH.CONTENT.3.G.A	cluster	Grade 3: Geometry	math-content-standards	Geometry	3	Reason with shapes and their attributes.
162	CCSS.MATH.CONTENT.3.G.A.1	standard	Grade 3: Geometry	math-content-standards	Geometry	3	Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.
163	CCSS.MATH.CONTENT.3.G.A.2	standard	Grade 3: Geometry	math-content-standards	Geometry	3	Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole.
164	CCSS.MATH.CONTENT.4.OA.A	cluster	Grade 4: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	4	Use the four operations with whole numbers to solve problems.
165	CCSS.MATH.CONTENT.4.OA.A.1	standard	Grade 4: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	4	Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.
166	CCSS.MATH.CONTENT.4.OA.A.2	standard	Grade 4: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	4	Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.
167	CCSS.MATH.CONTENT.4.OA.A.3	standard	Grade 4: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	4	Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.
168	CCSS.MATH.CONTENT.4.OA.B	cluster	Grade 4: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	4	Gain familiarity with factors and multiples.
169	CCSS.MATH.CONTENT.4.OA.B.4	standard	Grade 4: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	4	Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1-100 is prime or composite.
